,title,price,description,date_posted,address,url,parking,date d'emménagement,animals,area
10,"Christophe-Colomb, 2 1/2, 450m Métro Jean-Talon,",995.0,,2023-07-12 17:54:00,"7396,  av. Christophe-Colomb, Montréal, QC, H2R 2S6",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/christophe-colomb-2-1-2-450m-metro-jean-talon/1663348440,0,2023-09-01 00:00:00,Non,Non disponible
11,"Métro Parc à 840m 2 1/2 chauffé, eau chaude,",995.0,,2023-07-12 17:33:00,"6585 Avenue du Parc, montreal, QC, H2V 4J1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/metro-parc-a-840m-2-1-2-chauffe-eau-chaude/1665035558,0,,Non,Non disponible
12,"Métro Parc 850m, 2 1/2 chauffé, eau chaude",940.0,,2023-07-12 17:30:00,"6585 Avenue du Parc, montreal, QC, H2V 4J1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/metro-parc-850m-2-1-2-chauffe-eau-chaude/1661475017,0,2023-07-01 00:00:00,Non,Non disponible
13,Year Lease Transfer/Sublet of 40m squared studio in Montreal,1289.0,"Found on the 20th floor, you have a studio apartment with a balcony which gives access to beautiful view of the city. You will be near all the necessities such as a pharmacy a minute away, and both the IGA and Metro grocery stores being 8 minutes away. You would also be near a starbucks and a plethora of both fast food chains and restaurants. The apartment comes with a fridge and a stove/oven and rent covers heating and hot water. Laundry can be done in the building on the 2nd floor for cheap. The staff is quick to fix any issues in the suite. The area is extremelly quiet, with both neighbours being respectful and the noise heard from the road being non exsistent. Currently the building is also adding a fitness center as well! More information can be found here :https://www.clvgroup.com/apartments/hampstead-towers",2023-07-12 17:24:00,"Montreal, QC H3X 2P6",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/year-lease-transfer-sublet-of-40m-squared-studio-in-montreal/1665936924,0,2023-09-01 00:00:00,Oui,441
14,Studio rénové à louer,1219.0,,2023-07-12 16:53:00,"1225 St-Marc, Montréal, QC, H3H 2E7",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-renove-a-louer/1576427924,0,,Limité,Non disponible
15,À LOUER / FOR RENT DOWNTOWN - STUDIO RÉNOVÉ / RENOVATED BACHELOR,1219.0,Cet immeuble situé au 1225 St Marc au coeur du centre ville,2023-07-12 16:47:00,"1225 St-Marc, Montréal, QC, H3H 2E7",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/a-louer-for-rent-downtown-studio-renove-renovated-bachelor/1576427930,0,,Non,Non disponible
16,La Tour Lafontaine: Apartment for rent in Downtown Montreal,1299.0,"Bienvenue au Plateau-Mont-Royal où se trouve le magnifique parc Lafontaine. À quelques pas de cet emblématique espace vert se dresse la Tour Lafontaine, un superbe immeuble équipé de nombreux aménagements intérieurs et extérieurs. Profitez pleinement de la vue imprenable sur la ville et sur le parc qui vous est offerte depuis notre terrasse privée, ou profitez de tout ce que notre dynamique métropole a à offrir en partant à la découverte des nombreux magasins et restaurants des alentours. Avec ses plans d'étage adaptés à tous les styles de vie, la Tour Lafontaine saura assurément vous faire sentir parfaitement chez vous!",2023-07-12 16:43:00,"1025 rue Sherbrooke Est, Montréal, QC, H2L 1L4",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/la-tour-lafontaine:-apartment-for-rent-in-downtown-montreal/1652710582,0,2023-08-31 00:00:00,Oui,360
17,4875 Dufferin: Apartment for rent in Hampstead,1249.0,"Bienvenue au 4875 avenue Dufferin, un bâtiment confortable et parfaitement situé dans le quartier Côte-des-Neiges, à mi-chemin entre les stations de métro Villa-Maria et Snowdon. Sa proximité avec diverses options de transport en commun permet aux résidents de se rendre aux quatre coins de la ville en quelques minutes seulement. Promenez-vous à proximité le long de l'avenue Monkland, où vous trouverez à chaque détour des restaurants et des magasins réputés. Nos résidents peuvent également profiter d'une buanderie sur place, stationnement intérieur, balcons spacieux et une foule d'autres aménagements! Venez visiter votre nouvelle demeure dès aujourd'hui.",2023-07-12 16:17:00,"4875 avenue Dufferin, Montréal, QC, H3X 2Z2",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4875-dufferin:-apartment-for-rent-in-hampstead/1647498016,0,2023-08-31 00:00:00,Oui,350
18,APPARTEMENT 1 ½ MEUBLÉ CENTRE-VILLE-PLATEAU-METRO PLACE DES ART,1250.0,Appartements 1 1/2 MEUBLÉS à louer à proximité de l'université UQAM et MCGILL au coin de St-Urbain et Sherbrooke,2023-07-12 16:05:00,"3475 Saint-Urbain, Montreal, QC, H2X 2N4",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-1-meuble-centre-ville-plateau-metro-place-des-art/1505830094,0,,Non,Non disponible
19,Studio apartment downtown Montreal - ID 2027,1125.0,,2023-07-12 16:04:00,"25 Avenue des Pins O, Montreal, QC, H2W 1P8",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-apartment-downtown-montreal-id-2027/1665241321,0,2023-08-01 00:00:00,Oui,250
20,Studio Hochelaga TOUT INCLUS,950.0,"Studio Neuf : TOUT INCLUS ! :) Poêle, Frigo, Micro- ondes en stainless , électricité , eau chaude, internet haute vitesse, chauffage, air climatise avec control indépendant INCLUS ! Ascenseur, Intercom, Buanderie payante sur place. Grand balcon privé. Plancher en béton insonorisé. Surveillance par caméra 24/24, concierge sur place. Contactez Cecilia au 514-662-7004 pour une visite. Disponible le 1er Juin et le 1er Juillet 2023.",2023-07-12 15:10:00,"Rue la Fontaine, Montréal, QC, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-hochelaga-tout-inclus/1641915814,0,2023-06-01 00:00:00,Non,350
21,Montreal Studio Apartment for Rent - 105 Rue Milton,1032.0,Current Promotions,2023-07-12 15:00:00,"105 Rue Milton, Montréal, QC, H2X 1V4",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/montreal-studio-apartment-for-rent-105-rue-milton/1612938330,0,,Oui,257
22,2½ DANS ROSEMONT,895.0,INCLUS-chauffage et eau chaude-Poêle et réfrigérateur-Buanderie dans l'immeuble,2023-07-12 14:53:00,"3211 Beaubien Est, Montreal, QC, H1Y 1H6",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-dans-rosemont/1651945015,0,,Limité,Non disponible
23,"AVAILABLE STUDIO+LOCKER, METRO ANGRIGNON, 2nd floor, Video ",1250.0,"Beau studio ensoleillé au deuxième étage avec une grande terrasse privée. L’appartement est rénové, complètement meublé, et décoré. Comprend un casier pour le rangement. Près de la station du métro Angrignon, parc Angrignon et du centre commercial Angrignon. L'immeuble est muni d'une terrasse sur le toit, d'un gym, d'une salle communautaire et d'un sauna. Très tranquille. Stationnement accessible dans la rue. Cet appartement est parfait pour un(e) jeune professionnel(le). Disponible immédiatement. 1250$, chauffage inclus.",2023-07-12 14:37:00,"Rue Allard, LaSalle, QC H8N 1Y7",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/available-studio-locker-metro-angrignon-2nd-floor-video/1665919806,0,2023-07-09 00:00:00,Non,328
24,Bright Studio In Saint Laurent ,850.0,"Bright fully renovated 21/2 apartment available for July 1st, For more information call John at 438-501-4790 , in a centralized area of Ville Saint Laurent. Fridge and stove, washer & dryer included. No smoking, no cannabis, must have good credit, criminal background check references must required. 171 and 121 Bus stops right in front of building. Steps from Les Galeries Saint Laurent, Maxi, Super C, Centre D'urgences de Saint Laurent, and many other stores/restaurants. There are parks scattered around the area. The new REM will be down the street! 15 minutes to the Airports, and 5 minutes from Metro Cote Vertu!
Indoor/Outdoor parking and Storage Lockers are available for an extra fee per month.
Fridge/Oven included, No Pets
No Smoking on the property at all.
Upon application a credit check will be done. You must have been at your current job for at least a year.
Possibility for apartment to be furnished, please inquire.
Lumineux appartement rénové disponible pour le 1er July, plus information appelle John 438-501-4790, dans un quartier centralisé de Ville Saint Laurent. Arrêts d'autobus 121et 171 juste en face de l'immeuble. À quelques pas des Galeries Saint Laurent, Maxi, Super C, Centre D'urgences de Saint Laurent et de nombreux autres magasins/restaurants. Il y a des parcs disséminés dans la région. Le nouveau REM sera au bout de la rue! À 15 minutes des aéroports et à 5 minutes du métro Côte Vertu !
Un parking intérieur/extérieur et des casiers de stockage sont disponibles moyennant des frais supplémentaires par mois.
Réfrigérateur/four inclus, Pas d'animaux de compagnie
Interdiction de fumer sur la propriété du tout.
Sur demande, une vérification de crédit sera effectuée. Vous devez occuper votre emploi actuel depuis au moins un an.
Possibilité d'aménager l'appartement, se renseigner.",2023-07-12 14:32:00,"Bd O'Brien, Montréal, QC H4J",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/bright-studio-in-saint-laurent/1665919327,0,2023-07-12 00:00:00,Non,900
25,2½ 3½ 4½ Appartement a loué NDG/NOTRE-DAME DE GRACE/COTE ST-LUC,950.0,"Appartements 1 1/2, 2 1/2, 3 1/2 a louer au coeur de NDG",2023-07-12 14:25:00,"6201 Sherbrooke Ouest, Notre-Dame-de-Grâce, QC, H4B 1M5",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-3-4-appartement-a-loue-ndg-notre-dame-de-grace-cote-st-luc/1525863879,0,,Limité,Non disponible
26,Studio | 1 ½ Apartment for Rent - 222 Rue de Woodstock,1126.0,Location Details,2023-07-12 14:25:00,"222 Rue de Woodstock, Saint-Lambert, QC, J4P 3R3",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/studio-1-apartment-for-rent-222-rue-de-woodstock/1663299216,0,,Limité,456
27,Studio Plateau Mont-Royal,1050.0,"Magnifiques studios locatifs haut de gamme complètement rénovés, DISPONIBLE DÈS le 1er août 2023!
https://modelaimmobilier.wixsite.com/lesquare
https://www.facebook.com/marketplace/item/6054008224697250/
255 rue du Square-Saint-Louis, Montréal (Plateau Mont-Royal)
✅Inclusions : Chambre entièrement meublée, Réfrigérateur, Micro-ondes, Plaque chauffante, Thermopompe, Internet haute vitesse illimité et buanderie gratuite dans l’immeuble
Logements au demi sous-sol, 1er, 2e et 3e étage disponibles
Studio
Disponible dès le 1er août 2023",2023-07-12 13:45:00,"Rue du Square-Saint-Louis, Montréal, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-plateau-mont-royal/1662609530,0,2023-08-01 00:00:00,Limité,200
28,"3 1/2  A LOUER, MÉTRO,HEC, UDM,MONTRÉAL",1195.0,3 1/2 à louer 1195$/month !!! Inclus/Including : -Eau chaude et Chauffage/Hot water and heating-Cuisinière et Réfrigérateur/Fridge and stove Stations de MÉTRO à proximité/Metro station : Côte Ste-Catherine,2023-07-12 13:07:00,"4825 COTE STE-CATHERINE, Montreal, QC, H3W 1M4",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-a-louer-metro-hec-udm-montreal/1661792380,0,2023-11-01 00:00:00,Non,Non disponible
29,"Tour Sherbrooke - 0 Bedroom, 1 Bathroom Apartment for Rent",1260.0,"Live in the lap of luxury when you choose one of our stylish Tour Sherbrooke apartment suites at 450 rue Sherbrooke Est, in the heart of downtown Montreal. ",2023-07-12 12:24:00,"450 rue Sherbrooke Est, Montréal, QC, H2L 1J8",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/tour-sherbrooke-0-bedroom-1-bathroom-apartment-for-rent/1665900463,0,,Oui,400
30,Place Cavendish Apartments - Bachelor available at 2525 Cavendis,1035.0,Open House - July 20 - 21,2023-07-12 11:54:00,"2525 Cavendish blvd., Montréal, QC, H4B 2Y6",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/place-cavendish-apartments-bachelor-available-at-2525-cavendis/1663969640,0,,Non,496
31,Near McGill All Included Furnitured Studio Rent from Aug or Sep,1020.0,"Nice, Clean and Safe, Private(Nothing-shared )apartment.
Everything are included: electricity, heating, hot water, internet, basic furniture , refrigerator and stove etc. This apartment is located in the center of Montreal.
Short walking distance to MCGILL, UQAM, bus, metro, supermarket cinema etc, easy to get everywhere, 24 Hour Security System
Perfect for student or single professional.
Please call 514-827-8346 for detailed",2023-07-12 06:34:00,"Saint Dominique Street, Montreal, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/near-mcgill-all-included-furnitured-studio-rent-from-aug-or-sep/1665899619,0,2023-08-01 00:00:00,Non,300
32,Studio spacieux à louer à Saint-Lambert,1053.0,"Cession de bail - Dispo à partir du 2 septembre 2023
Studio spacieux en plein coeur du centre-ville de Saint-Lambert, au 5e étage avec grand balcon
Parfait pour une personne ou un couple
Entièrement rénové en 2020, lumineux, très propre,
1053$/mois",2023-07-12 02:06:00,"Saint-Lambert, QC J4P 3R3",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/studio-spacieux-a-louer-a-saint-lambert/1665885851,0,2023-09-02 00:00:00,Oui,456
33,Studio a louer,875.0,J ai un studio à sous louer au coin de jean talons et Châteaubriand. Métro jean talons . Disponible le 22 août jusqu'au 02 octobre 2023 Merci,2023-07-12 01:24:00,"Avenue De Chateaubriand, Montréal, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-a-louer/1665887147,0,2023-08-22 00:00:00,Non,30
34,Appartement à Verdun meublé! Metro Verdun,1050.0,"VISITE JEUDI 13 JUILLET 6.30PM
VISIT THURSDAY JULY 13TH 6.30PM
3810 rue joseph
1050$ par mois
meubles inclus",2023-07-12 01:09:00,"Rue Joseph, Verdun, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-a-verdun-meuble-metro-verdun/1665400121,0,2023-08-01 00:00:00,Limité,600
35,"rent,ST-LÉONARD,CONDO,bachelorto,studio,21/2,21/2,OCTOBRE 2023",1100.0,RENT A NEW APARTMENT? 1 MONTH FREE on signing leases of 12 months and more!,2023-07-12 23:30:00,"8550 Viau, Saint Leonard, QC, H1R 0E5",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/rent-st-leonard-condo-bachelorto-studio-21-2-21-2-octobre-2023/1654701588,0,2023-10-01 00:00:00,Non,Non disponible
36,Beautiful Furnished Apartment ! Utilities included,1250.0,"* Fully furnished and newly renovated apartment with beautiful new hardwood floors .The apartments are located in the trendy plateau area . New Kitchen and appliances . Fully equipped kitchen that comes complete with all pots, pans, utensils, plates and bowls . Quality furniture with sheets and bedding included . 5 to 10 minute walk to bars, restaurants, groceries stores, pharmacies, bus ( 485 ,97 , 11, 129, 80) and metro ( Mont Royal). Most popular for biking during summer months . Air conditioner in the apartment - Washer and Dryer available in the building .We are a professional company that cares about our tenants, who believe that providing good, friendly, dependable service is absolutely essential . With an apartment you get more than just the four walls and a roof, you're signing up with a company that offers you exceptional service . Possibility of parking at additional charge .
OUR PACKAGE OF SERVICES INCLUDES:
All utilities and taxes included: electricity, hot water, heating and water tax.
Complete kitchen: with electric range and oven and refrigerator with freezer.
Complete fully functional bathroom with shower and bathtub.
BUILDING FEATURES:
-Laundry facilities.
-Secure entrance with code.
-Closed circuit camera system in Lobby and around the building .
-On site management .
Our prices really do include everything!",2023-07-11 23:39:00,"Avenue du Parc, Montreal, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-furnished-apartment-utilities-included/1665878826,1,2023-07-14 00:00:00,Non,510
37,"Spacious studio downtown, starting Aug 15-20 +optional furniture",950.0,(Francais plus bas),2023-07-11 23:29:00,"2175 Maisonneuve Boulevard West, Montreal, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/spacious-studio-downtown-starting-aug-15-20-optional-furniture/1665877909,0,2023-08-15 00:00:00,Non,360
38,5999 Monkland - 0 Bedroom Apartment for Rent,1154.0,WELCOME TO,2023-07-11 23:25:00,"5999 Av De Monkland, Montréal, QC, H4A 1H1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5999-monkland-0-bedroom-apartment-for-rent/1665609829,0,,Oui,Non disponible
39,Griffintown Studio,1150.0,"Located along the Lachine Canal, it's the perfect rental for proximity to downtown, while enjoying the tranquil setting of the Canal's greenspace, waterfront and bike/foot path. The unit is located on the 2nd floor of the Charlotte Condominium, with a balcony view of the Canal. All appliances included (dishwasher, stove, microwave, fridge, washer, dryer, central air condition).
Features of the condo:
- 8 floors building with 9th feet ceiling interior
- Roof terrace view of downtown, Lachine Canal and the mountain
- Roof outdoor swimming pool + common space
- Gym
- 24hr Security
- Bicycle storage, indoors & outdoors
- Storage locker
- Ground level Inner courtyard",2023-07-11 23:09:00,"Rue des Bassins, Montréal, QC H3C 0L4",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/griffintown-studio/1665876176,0,2023-08-01 00:00:00,Limité,302
40,The 1350 Dufort Apartments - Bachelor available at 1350 Du Fort ,1230.0,Visitez notre site Web : https://www.capreit.ca/fr/appartements-a-louer/montreal-qc/le-1350-dufort-appartements/,2023-07-12 22:29:00,"1350 Du Fort street, Montréal, QC, H3H 2R7",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/the-1350-dufort-apartments-bachelor-available-at-1350-du-fort/1663969749,0,,Non,340
41,"for,to rent,downtown,Montreal,McGill,studio,21/2,september",1225.0,"Studio to rent in Downtown, near McGill.Only one available for september 2023Prestigious building located on the prestigious Avenue du Docteur-Penfield in downtown Montreal, near McGill University in the Ville-Marie borough.",2023-07-12 22:02:00,"1530 DR PENFIELD, Montreal, QC, H3G 1C1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/for-to-rent-downtown-montreal-mcgill-studio-21-2-september/1661635046,0,2023-09-01 00:00:00,Non,360
42,Studio near concordia - ID 2845,1120.0,,2023-07-11 21:24:00,"1975 Maisonneuve Blvd West, Montreal, QC, H3H 1K4",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-near-concordia-id-2845/1665151433,0,2023-08-08 00:00:00,Limité,374
43,Logement 1 personne (sous-sol) dans Rosemont,900.0,"** Si cette annonce vous intéresse, veuillez compléter le formulaire suivant: https://forms.gle/dWYG8HSeJe7Jx9t5A",2023-07-11 21:19:00,"Montréal, QC H2G 3B1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/logement-1-personne-sous-sol-dans-rosemont/1665866218,1,2023-07-11 00:00:00,Non,700
44,Appartement 1 1/2 METRO SHERBROOKE -ELECTRICITÉ CHAUFFAGE INCLUS,995.0,"Appartements a louer au plein coeur du plateau avec balcon!Access direct au Metro Sherbrooke.TOUT INCLUS: CHAUFFAGE, EAU CHAUDE, ÉLECTRICITÉ, AIR CLIMATISÉ, CUISINIÈRE, FRIGO.1 1/2 a partir de 995$ par mois3 1/2 a partir de 1350$ par mois 4 1/2 a partir de 1610$ par moisPenthouse a partir de 1870$ par mois- L'appartement est entièrement rénovée.- Access direct au Metro Sherbrooke.- A quelque minute de marche de la rue St-Denis.- Chauffage/Electriciter/Poêle/Frigo et Air climatiser centrale inclus!- Vue époustouflante du balcon surtout pendantles feux d'artifices-Piscineintérieure avec sauna- Salle avec Laveuse/Secheuse- Service de conciergerie 24/7- Stationnement intérieure disponible",2023-07-12 21:21:00,"3555, rue Berri, Montreal, QC, H2L 4G4",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-1-1-2-metro-sherbrooke-electricite-chauffage-inclus/1535497757,0,,Non,Non disponible
45,"to,for rent,downtown Montreal,dj,Westmount,studio,bachelor",1295.0,"Appartement a louer centre ville Montreal,adjacent ,Westmount,Mont RoyalBachelor, studiowith wall A/C",2023-07-09 19:10:00,"3555 Atwater, Montreal, QC, H3H 1Y3",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/to-for-rent-downtown-montreal-dj-westmount-studio-bachelor/1659419399,0,2022-09-01 00:00:00,Non,600
46,"Apartment for,to,rent,Westmount,Montreal,studio,21/2,October",1195.0,"The Hillside House is a prestigious building in Westmount, close to schools, restaurants, Metro Station and Atwater Market. Our rates and quality of apartments are unbeatable. Have to see it!",2023-07-12 20:28:00,"4400 sainte catherine ouest, Montreal, QC, H3Z 1R3",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apartment-for-to-rent-westmount-montreal-studio-21-2-october/1663970623,0,2023-10-01 00:00:00,Non,380
47,"for,to rent,downtown,Montreal,McGill,studio,21/2,september",1225.0,"Studio to rent in Downtown, near McGill.Only one available for september 2023Prestigious building located on the prestigious Avenue du Docteur-Penfield in downtown Montreal, near McGill University in the Ville-Marie borough.",2023-07-12 22:02:00,"1530 DR PENFIELD, Montreal, QC, H3G 1C1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/for-to-rent-downtown-montreal-mcgill-studio-21-2-september/1661635046,0,2023-09-01 00:00:00,Non,360
48,"rent,ST-LÉONARD,CONDO,bachelorto,studio,21/2,21/2,OCTOBRE 2023",1100.0,RENT A NEW APARTMENT? 1 MONTH FREE on signing leases of 12 months and more!,2023-07-12 23:30:00,"8550 Viau, Saint Leonard, QC, H1R 0E5",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/rent-st-leonard-condo-bachelorto-studio-21-2-21-2-octobre-2023/1654701588,0,2023-10-01 00:00:00,Non,Non disponible
49,"studio in NDG, near Monkland - ID 566",1100.0,,2023-07-11 17:20:00,"4390 Grand Boulevard, Montreal, QC, H4B 2X8",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-in-ndg-near-monkland-id-566/1665519762,0,2023-09-01 00:00:00,Limité,450
50,Furnished studio for rent/studio meublé à louer- NDG,920.0,"Very charming, spacious, recently renovated and furnished studio on ground floor. Proximity to Glen Hospital, Highways, St Henri. Park Georges-Saint-Pierre around the corner. 10 min walk from Vendome metro (2 min by bus). Electricity at the charge of the tenants. Very easy parking on the street. Available for October 1st.
Included:
- sofa, bed, storage units, table + tall stools, TV,
- kitchen appliances and utensils
- washing machine and dryer shared with first floor tenants.",2023-07-11 16:56:00,"Montréal, QC H4A",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/furnished-studio-for-rent-studio-meuble-a-louer-ndg/1665839495,0,2023-07-01 00:00:00,Non,650
51,Apartment/studio,1000.0,STUDIO tour inclut 1000$ disponible,2023-07-11 16:46:00,"Montreal, QC H2P 1Y8",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apartment-studio/1665838416,0,2023-08-01 00:00:00,Non,270
52,2 1/2 LONGUEUIL SEMI MEUBLÉ DISPO. IMMÉDIATEMENT ,860.0,"Beau 2 ½ LONGUEUIL, disponible immédiatement, NON FUMEUR, PAS D ANIMAUX ; 514 605 5418 , demi sous-sol d'un triplex, chez le propriétaire, poele, frigidaire, laveuse et sécheuse , table avec deux Chaises , rideau inclus, stationnement inclus l’hiver , cabanon partagé, terrain partagé, eau chaude inclus. ÉLECTRICITÉ À LA CHARGE DU LOCATAIRE.
Recherche personne tranquille, une enquête complète sera faite
Richard
514-605-5418
",2023-07-11 16:28:00,"Longueuil, QC J4L 2R5",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/2-1-2-longueuil-semi-meuble-dispo-immediatement/1665836509,1,2023-07-11 00:00:00,Non,1
53,Studio 11/2 à proximité du métro Laurier,710.0,"(English below, updated)
juste ""Je suis intéressé"" sera ignoré",2023-07-11 16:10:00,"Montreal, QC H2J 3Z7",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-11-2-a-proximite-du-metro-laurier/1665834586,0,2023-08-01 00:00:00,Non,700
