,title,price,description,date_posted,address,url,parking,date d'emménagement,animals,area,location_type,location,sublocality,postal_code
23,Bright Studio In Saint Laurent ,850.0,"Bright fully renovated 21/2 apartment available for July 1st, For more information call John at 438-501-4790 , in a centralized area of Ville Saint Laurent. Fridge and stove, washer & dryer included. No smoking, no cannabis, must have good credit, criminal background check references must required. 171 and 121 Bus stops right in front of building. Steps from Les Galeries Saint Laurent, Maxi, Super C, Centre D'urgences de Saint Laurent, and many other stores/restaurants. There are parks scattered around the area. The new REM will be down the street! 15 minutes to the Airports, and 5 minutes from Metro Cote Vertu!
Indoor/Outdoor parking and Storage Lockers are available for an extra fee per month.
Fridge/Oven included, No Pets
No Smoking on the property at all.
Upon application a credit check will be done. You must have been at your current job for at least a year.
Possibility for apartment to be furnished, please inquire.
Lumineux appartement rénové disponible pour le 1er July, plus information appelle John 438-501-4790, dans un quartier centralisé de Ville Saint Laurent. Arrêts d'autobus 121et 171 juste en face de l'immeuble. À quelques pas des Galeries Saint Laurent, Maxi, Super C, Centre D'urgences de Saint Laurent et de nombreux autres magasins/restaurants. Il y a des parcs disséminés dans la région. Le nouveau REM sera au bout de la rue! À 15 minutes des aéroports et à 5 minutes du métro Côte Vertu !
Un parking intérieur/extérieur et des casiers de stockage sont disponibles moyennant des frais supplémentaires par mois.
Réfrigérateur/four inclus, Pas d'animaux de compagnie
Interdiction de fumer sur la propriété du tout.
Sur demande, une vérification de crédit sera effectuée. Vous devez occuper votre emploi actuel depuis au moins un an.
Possibilité d'aménager l'appartement, se renseigner.",2023-07-12 14:32:00,"Bd O'Brien, Montréal, QC H4J, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/bright-studio-in-saint-laurent/1665919327,0,2023-07-12 00:00:00,0,900.0,GEOMETRIC_CENTER,"{'lat': 45.5318742, 'lng': -73.706158}",Ahuntsic-Cartierville,H4J
24,2½ 3½ 4½ Appartement a loué NDG/NOTRE-DAME DE GRACE/COTE ST-LUC,950.0,"Appartements 1 1/2, 2 1/2, 3 1/2 a louer au coeur de NDG",2023-07-12 14:25:00,"6201 Rue Sherbrooke O, Montréal, QC H4B 1M5, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-3-4-appartement-a-loue-ndg-notre-dame-de-grace-cote-st-luc/1525863879,0,,1,,ROOFTOP,"{'lat': 45.4666891, 'lng': -73.6243234}",Côte-Des-Neiges—Notre-Dame-De-Grâce,H4B 1M5
25,Studio | 1 ½ Apartment for Rent - 222 Rue de Woodstock,1126.0,Location Details,2023-07-12 14:25:00,"222 Rue de Woodstock, Saint-Lambert, QC J4P 3R3, Canada",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/studio-1-apartment-for-rent-222-rue-de-woodstock/1663299216,0,,1,456.0,ROOFTOP,"{'lat': 45.50014960000001, 'lng': -73.5093437}",Longueuil,J4P 3R3
26,Studio Plateau Mont-Royal,1050.0,"Magnifiques studios locatifs haut de gamme complètement rénovés, DISPONIBLE DÈS le 1er août 2023!
https://modelaimmobilier.wixsite.com/lesquare
https://www.facebook.com/marketplace/item/6054008224697250/
255 rue du Square-Saint-Louis, Montréal (Plateau Mont-Royal)
✅Inclusions : Chambre entièrement meublée, Réfrigérateur, Micro-ondes, Plaque chauffante, Thermopompe, Internet haute vitesse illimité et buanderie gratuite dans l’immeuble
Logements au demi sous-sol, 1er, 2e et 3e étage disponibles
Studio
Disponible dès le 1er août 2023",2023-07-12 13:45:00,"R. du Square-Saint-Louis, Montréal, QC H2X, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-plateau-mont-royal/1662609530,0,2023-08-01 00:00:00,1,200.0,GEOMETRIC_CENTER,"{'lat': 45.5173573, 'lng': -73.5702456}",Le Plateau-Mont-Royal,H2X
27,"3 1/2  A LOUER, MÉTRO,HEC, UDM,MONTRÉAL",1195.0,3 1/2 à louer 1195$/month !!! Inclus/Including : -Eau chaude et Chauffage/Hot water and heating-Cuisinière et Réfrigérateur/Fridge and stove Stations de MÉTRO à proximité/Metro station : Côte Ste-Catherine,2023-07-12 13:07:00,"4825 Chem. de la Côte-Sainte-Catherine, Montréal, QC H3W 1M4, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-a-louer-metro-hec-udm-montreal/1661792380,0,2023-11-01 00:00:00,0,,ROOFTOP,"{'lat': 45.4921843, 'lng': -73.6337703}",Côte-Des-Neiges—Notre-Dame-De-Grâce,H3W 1M4
28,"Tour Sherbrooke - 0 Bedroom, 1 Bathroom Apartment for Rent",1260.0,"Live in the lap of luxury when you choose one of our stylish Tour Sherbrooke apartment suites at 450 rue Sherbrooke Est, in the heart of downtown Montreal. ",2023-07-12 12:24:00,"450 R. Sherbrooke E, Montréal, QC H2X 3L1, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/tour-sherbrooke-0-bedroom-1-bathroom-apartment-for-rent/1665900463,0,,2,400.0,ROOFTOP,"{'lat': 45.5175608, 'lng': -73.56665269999999}",Ville-Marie,H2X 3L1
29,Place Cavendish Apartments - Bachelor available at 2525 Cavendis,1035.0,Open House - July 20 - 21,2023-07-12 11:54:00,"2525 Boul Cavendish, Montréal, QC H4B 2Y6, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/place-cavendish-apartments-bachelor-available-at-2525-cavendis/1663969640,0,,0,496.0,ROOFTOP,"{'lat': 45.4630939, 'lng': -73.62650099999999}",Côte-Des-Neiges—Notre-Dame-De-Grâce,H4B 2Y6
30,Near McGill All Included Furnitured Studio Rent from Aug or Sep,1020.0,"Nice, Clean and Safe, Private(Nothing-shared )apartment.
Everything are included: electricity, heating, hot water, internet, basic furniture , refrigerator and stove etc. This apartment is located in the center of Montreal.
Short walking distance to MCGILL, UQAM, bus, metro, supermarket cinema etc, easy to get everywhere, 24 Hour Security System
Perfect for student or single professional.
Please call 514-827-8346 for detailed",2023-07-12 06:34:00,"Rue Saint-Dominique, Montréal, QC, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/near-mcgill-all-included-furnitured-studio-rent-from-aug-or-sep/1665899619,0,2023-08-01 00:00:00,0,300.0,GEOMETRIC_CENTER,"{'lat': 45.5265707, 'lng': -73.5983351}",,
31,Studio spacieux à louer à Saint-Lambert,1053.0,"Cession de bail - Dispo à partir du 2 septembre 2023
Studio spacieux en plein coeur du centre-ville de Saint-Lambert, au 5e étage avec grand balcon
Parfait pour une personne ou un couple
Entièrement rénové en 2020, lumineux, très propre,
1053$/mois",2023-07-12 02:06:00,"Saint-Lambert, QC J4P 3R3, Canada",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/studio-spacieux-a-louer-a-saint-lambert/1665885851,0,2023-09-02 00:00:00,2,456.0,APPROXIMATE,"{'lat': 45.5001153, 'lng': -73.509495}",Longueuil,J4P 3R3
32,Studio a louer,875.0,J ai un studio à sous louer au coin de jean talons et Châteaubriand. Métro jean talons . Disponible le 22 août jusqu'au 02 octobre 2023 Merci,2023-07-12 01:24:00,"Av. De Chateaubriand, Montréal, QC, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-a-louer/1665887147,0,2023-08-22 00:00:00,0,30.0,GEOMETRIC_CENTER,"{'lat': 45.5375804, 'lng': -73.6085048}",,
33,Appartement à Verdun meublé! Metro Verdun,1050.0,"VISITE JEUDI 13 JUILLET 6.30PM
VISIT THURSDAY JULY 13TH 6.30PM
3810 rue joseph
1050$ par mois
meubles inclus",2023-07-12 01:09:00,"Rue Joseph, Montréal, QC H4G, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-a-verdun-meuble-metro-verdun/1665400121,0,2023-08-01 00:00:00,1,600.0,GEOMETRIC_CENTER,"{'lat': 45.4673836, 'lng': -73.5720653}",,H4G
34,Beautiful Furnished Apartment ! Utilities included,1250.0,"* Fully furnished and newly renovated apartment with beautiful new hardwood floors .The apartments are located in the trendy plateau area . New Kitchen and appliances . Fully equipped kitchen that comes complete with all pots, pans, utensils, plates and bowls . Quality furniture with sheets and bedding included . 5 to 10 minute walk to bars, restaurants, groceries stores, pharmacies, bus ( 485 ,97 , 11, 129, 80) and metro ( Mont Royal). Most popular for biking during summer months . Air conditioner in the apartment - Washer and Dryer available in the building .We are a professional company that cares about our tenants, who believe that providing good, friendly, dependable service is absolutely essential . With an apartment you get more than just the four walls and a roof, you're signing up with a company that offers you exceptional service . Possibility of parking at additional charge .
OUR PACKAGE OF SERVICES INCLUDES:
All utilities and taxes included: electricity, hot water, heating and water tax.
Complete kitchen: with electric range and oven and refrigerator with freezer.
Complete fully functional bathroom with shower and bathtub.
BUILDING FEATURES:
-Laundry facilities.
-Secure entrance with code.
-Closed circuit camera system in Lobby and around the building .
-On site management .
Our prices really do include everything!",2023-07-11 23:39:00,"Av du Parc, Montréal, QC, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-furnished-apartment-utilities-included/1665878826,1,2023-07-14 00:00:00,0,510.0,GEOMETRIC_CENTER,"{'lat': 45.5260392, 'lng': -73.6109763}",,
35,"Spacious studio downtown, starting Aug 15-20 +optional furniture",950.0,(Francais plus bas),2023-07-11 23:29:00,"2175 Maisonneuve Blvd W, Montreal, QC H3H 1L4, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/spacious-studio-downtown-starting-aug-15-20-optional-furniture/1665877909,0,2023-08-15 00:00:00,0,360.0,ROOFTOP,"{'lat': 45.491457, 'lng': -73.58463119999999}",Ville-Marie,H3H 1L4
36,5999 Monkland - 0 Bedroom Apartment for Rent,1154.0,WELCOME TO,2023-07-11 23:25:00,"5999 Av de Monkland, Montréal, QC H4A 1H1, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5999-monkland-0-bedroom-apartment-for-rent/1665609829,0,,2,,ROOFTOP,"{'lat': 45.4715335, 'lng': -73.62692609999999}",Côte-Des-Neiges—Notre-Dame-De-Grâce,H4A 1H1
37,Griffintown Studio,1150.0,"Located along the Lachine Canal, it's the perfect rental for proximity to downtown, while enjoying the tranquil setting of the Canal's greenspace, waterfront and bike/foot path. The unit is located on the 2nd floor of the Charlotte Condominium, with a balcony view of the Canal. All appliances included (dishwasher, stove, microwave, fridge, washer, dryer, central air condition).
Features of the condo:
- 8 floors building with 9th feet ceiling interior
- Roof terrace view of downtown, Lachine Canal and the mountain
- Roof outdoor swimming pool + common space
- Gym
- 24hr Security
- Bicycle storage, indoors & outdoors
- Storage locker
- Ground level Inner courtyard",2023-07-11 23:09:00,"Rue des Bassins, Montréal, QC H3C 0L4, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/griffintown-studio/1665876176,0,2023-08-01 00:00:00,1,302.0,GEOMETRIC_CENTER,"{'lat': 45.4895173, 'lng': -73.5618921}",Le Sud-Ouest,H3C 0L4
38,The 1350 Dufort Apartments - Bachelor available at 1350 Du Fort ,1230.0,Visitez notre site Web : https://www.capreit.ca/fr/appartements-a-louer/montreal-qc/le-1350-dufort-appartements/,2023-07-12 22:29:00,"1350 Rue du Fort, Montréal, QC H3H 2R7, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/the-1350-dufort-apartments-bachelor-available-at-1350-du-fort/1663969749,0,,0,340.0,ROOFTOP,"{'lat': 45.4912841, 'lng': -73.58088029999999}",Ville-Marie,H3H 2R7
39,Studio near concordia - ID 2845,1120.0,,2023-07-11 21:24:00,"1975 Maisonneuve Blvd W, Montreal, QC H3H 1K4, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-near-concordia-id-2845/1665151433,0,2023-08-08 00:00:00,1,374.0,ROOFTOP,"{'lat': 45.4929299, 'lng': -73.5828212}",Ville-Marie,H3H 1K4
40,Logement 1 personne (sous-sol) dans Rosemont,900.0,"** Si cette annonce vous intéresse, veuillez compléter le formulaire suivant: https://forms.gle/dWYG8HSeJe7Jx9t5A",2023-07-11 21:19:00,"Montreal, QC H2G 3B1, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/logement-1-personne-sous-sol-dans-rosemont/1665866218,1,2023-07-11 00:00:00,0,700.0,APPROXIMATE,"{'lat': 45.5417025, 'lng': -73.6005169}",Rosemont-La Petite-Patrie,H2G 3B1
41,Appartement 1 1/2 METRO SHERBROOKE -ELECTRICITÉ CHAUFFAGE INCLUS,995.0,"Appartements a louer au plein coeur du plateau avec balcon!Access direct au Metro Sherbrooke.TOUT INCLUS: CHAUFFAGE, EAU CHAUDE, ÉLECTRICITÉ, AIR CLIMATISÉ, CUISINIÈRE, FRIGO.1 1/2 a partir de 995$ par mois3 1/2 a partir de 1350$ par mois 4 1/2 a partir de 1610$ par moisPenthouse a partir de 1870$ par mois- L'appartement est entièrement rénovée.- Access direct au Metro Sherbrooke.- A quelque minute de marche de la rue St-Denis.- Chauffage/Electriciter/Poêle/Frigo et Air climatiser centrale inclus!- Vue époustouflante du balcon surtout pendantles feux d'artifices-Piscineintérieure avec sauna- Salle avec Laveuse/Secheuse- Service de conciergerie 24/7- Stationnement intérieure disponible",2023-07-12 21:21:00,"3555 Rue Berri, Montréal, QC H2L 4G4, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-1-1-2-metro-sherbrooke-electricite-chauffage-inclus/1535497757,0,,0,,ROOFTOP,"{'lat': 45.51885559999999, 'lng': -73.5680687}",Le Plateau-Mont-Royal,H2L 4G4
42,"studio in NDG, near Monkland - ID 566",1100.0,,2023-07-11 17:20:00,"4390 Grand Blvd., Montréal, QC H4B 2X8, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-in-ndg-near-monkland-id-566/1665519762,0,2023-09-01 00:00:00,1,450.0,ROOFTOP,"{'lat': 45.4694837, 'lng': -73.6300141}",Côte-Des-Neiges—Notre-Dame-De-Grâce,H4B 2X8
